t_s t_e t_mid I_b
0 1344.37 672.186 0.232822
1344.37 2625.72 1985.04 0.219301
2625.72 3927.57 3276.64 0.230441
3927.57 5240.82 4584.2 0.239862
5240.82 6490.31 5865.57 0.231295
6490.31 7785.84 7138.07 0.232338
7785.84 9089.02 8437.43 0.235577
9089.02 10402.4 9745.69 0.232992
10402.4 11699.9 11051.1 0.231974
11699.9 13015.2 12357.6 0.242533
13015.2 14277.1 13646.2 0.236149
14277.1 15547.4 14912.3 0.228297
15547.4 16838.4 16192.9 0.230059
16838.4 18138.6 17488.5 0.225338
18138.6 19459.3 18799 0.24231
19459.3 20717.1 20088.2 0.221804
20717.1 22026.5 21371.8 0.219947
22026.5 23331 22678.8 0.236104
23331 24575 23953 0.226688
24575 25860.5 25217.8 0.242713
25860.5 27187 26523.7 0.223908
27187 28496.1 27841.5 0.234507
28496.1 29773.9 29135 0.221464
29773.9 31042 30408 0.252349
31042 32240.7 31641.4 0.233585
32240.7 33488.6 32864.7 0.229184
33488.6 34763 34125.8 0.247188
34763 36051.4 35407.2 0.229743
36051.4 37288.2 36669.8 0.234473
37288.2 38536.1 37912.2 0.238791
38536.1 39829.4 39182.8 0.235842
39829.4 41161.2 40495.3 0.232765
41161.2 42455.8 41808.5 0.243313
42455.8 43787.9 43121.8 0.234977
43787.9 45099.5 44443.7 0.240158
45099.5 46402.1 45750.8 0.222628
46402.1 47725.5 47063.8 0.238035
47725.5 49011.3 48368.4 0.23798
49011.3 50275.3 49643.3 0.238136
50275.3 51516.3 50895.8 0.247367
51516.3 52772.4 52144.4 0.237254
52772.4 54083.7 53428 0.238687
54083.7 55394.5 54739.1 0.234966
55394.5 56676.7 56035.6 0.247248
56676.7 58000.2 57338.4 0.231198
58000.2 59285.5 58642.9 0.219395
59285.5 60593 59939.3 0.230211
60593 61884.5 61238.8 0.222996
61884.5 63164.7 62524.6 0.237478
63164.7 64475.9 63820.3 0.218876
64475.9 65750.6 65113.3 0.252605
65750.6 67066.2 66408.4 0.233356
67066.2 68387.6 67726.9 0.240659
68387.6 69654.5 69021 0.225751
69654.5 70972.6 70313.5 0.222282
70972.6 72309.9 71641.2 0.22733
72309.9 73565.3 72937.6 0.234972
73565.3 74841.8 74203.6 0.228755
74841.8 76131.8 75486.8 0.24032
76131.8 77453.5 76792.6 0.21865
77453.5 78723.8 78088.7 0.23459
78723.8 80036.3 79380.1 0.21714
80036.3 81324.3 80680.3 0.225168
81324.3 82628.6 81976.4 0.232303
82628.6 83918.4 83273.5 0.216306
83918.4 85228.1 84573.3 0.226007
85228.1 86536.1 85882.1 0.216367
86536.1 87856.3 87196.2 0.228003
87856.3 89147.8 88502 0.223771
89147.8 90403.1 89775.4 0.219066
90403.1 91696 91049.5 0.232039
91696 92933.8 92314.9 0.229441
92933.8 94249 93591.4 0.218965
94249 95531.1 94890.1 0.230099
95531.1 96838.6 96184.8 0.214148
96838.6 98174.5 97506.6 0.223811
98174.5 99465 98819.8 0.216204
99465 100768 100116 0.227959
100768 102008 101388 0.218509
102008 103293 102650 0.235058
103293 104592 103943 0.23706
104592 105886 105239 0.225642
105886 107151 106518 0.221444
107151 108437 107794 0.241801
108437 109722 109079 0.235047
109722 110975 110348 0.236918
110975 112298 111637 0.22983
112298 113615 112957 0.201901
113615 114918 114267 0.233391
114918 116211 115565 0.230429
116211 117482 116847 0.231296
117482 118776 118129 0.218677
118776 120088 119432 0.227952
120088 121418 120753 0.230782
121418 122693 122056 0.245481
122693 123983 123338 0.242745
123983 125281 124632 0.239492
125281 126562 125922 0.227196
126562 127833 127198 0.230525
127833 129102 128468 0.238766
