x,y,phi
0,-150,-1.5
-14.25,-149.25,-1.5
-13.5,-149.25,-1.5
-12.75,-149.25,-1.5
-12,-149.25,-1.5
-11.25,-149.25,-1.5
-10.5,-149.25,-1.5
-9.75,-149.25,-1.5
-9,-149.25,-1.5
-8.25,-149.25,-1.5
-7.5,-149.25,-1.5
-6.75,-149.25,-1.46357
-6,-149.25,-1.46399
-5.25,-149.25,-1.46432
-4.5,-149.25,-1.46432
-3.75,-149.25,-1.46457
-3,-149.25,-1.46475
-2.25,-149.25,-1.46475
-1.5,-149.25,-1.46485
-0.75,-149.25,-1.46485
0,-149.25,-1.46488
0.75,-149.25,-1.46484
1.5,-149.25,-1.46484
2.25,-149.25,-1.46473
3,-149.25,-1.46473
3.75,-149.25,-1.46455
4.5,-149.25,-1.46429
5.25,-149.25,-1.46429
6,-149.25,-1.46394
6.75,-149.25,-1.46352
7.5,-149.25,-1.5
8.25,-149.25,-1.5
9,-149.25,-1.5
9.75,-149.25,-1.5
10.5,-149.25,-1.5
11.25,-149.25,-1.5
12,-149.25,-1.5
12.75,-149.25,-1.5
13.5,-149.25,-1.5
14.25,-149.25,-1.5
-21,-148.5,-1.5
-20.25,-148.5,-1.5
-19.5,-148.5,-1.5
-18.75,-148.5,-1.5
-18,-148.5,-1.5
-17.25,-148.5,-1.5
-16.5,-148.5,-1.45583
-15.75,-148.5,-1.45741
-15,-148.5,-1.45876
-14.25,-148.5,-1.45876
-13.5,-148.5,-1.45991
-12.75,-148.5,-1.46089
-12,-148.5,-1.46089
-11.25,-148.5,-1.46174
-10.5,-148.5,-1.46174
-9.75,-148.5,-1.46245
-9,-148.5,-1.46306
-8.25,-148.5,-1.46306
-7.5,-148.5,-1.46357
-6.75,-148.5,-1.46357
-6,-148.5,-1.46399
-5.25,-148.5,-1.46432
-4.5,-148.5,-1.46432
-3.75,-148.5,-1.46457
-3,-148.5,-1.46475
-2.25,-148.5,-1.46475
-1.5,-148.5,-1.46485
-0.75,-148.5,-1.46485
0,-148.5,-1.46488
0.75,-148.5,-1.46484
1.5,-148.5,-1.46484
2.25,-148.5,-1.46473
3,-148.5,-1.46473
3.75,-148.5,-1.46455
4.5,-148.5,-1.46429
5.25,-148.5,-1.46429
6,-148.5,-1.46394
6.75,-148.5,-1.46352
7.5,-148.5,-1.46352
8.25,-148.5,-1.463
9,-148.5,-1.463
9.75,-148.5,-1.46238
10.5,-148.5,-1.46165
11.25,-148.5,-1.46165
12,-148.5,-1.46079
12.75,-148.5,-1.46079
13.5,-148.5,-1.45978
14.25,-148.5,-1.45861
15,-148.5,-1.45861
15.75,-148.5,-1.45724
16.5,-148.5,-1.45563
17.25,-148.5,-1.5
18,-148.5,-1.5
18.75,-148.5,-1.5
19.5,-148.5,-1.5
20.25,-148.5,-1.5
21,-148.5,-1.5
-25.5,-147.75,-1.5
-24.75,-147.75,-1.5
-24,-147.75,-1.5
-23.25,-147.75,-1.5
-22.5,-147.75,-1.5
-21.75,-147.75,-1.44576
-21,-147.75,-1.44906
-20.25,-147.75,-1.44906
-19.5,-147.75,-1.45175
-18.75,-147.75,-1.45397
-18,-147.75,-1.45397
-17.25,-147.75,-1.45583
-16.5,-147.75,-1.45583
-15.75,-147.75,-1.45741
-15,-147.75,-1.45876
-14.25,-147.75,-1.45876
-13.5,-147.75,-1.45991
-12.75,-147.75,-1.45991
-12,-147.75,-1.42235
-11.25,-147.75,-1.42235
-10.5,-147.75,-1.42393
-9.75,-147.75,-1.42527
-9,-147.75,-1.42527
-8.25,-147.75,-1.4264
-7.5,-147.75,-1.4264
-6.75,-147.75,-1.42734
