/home/hd/hd_hd/hd_gy283/.conda/envs/py311/bin/python
Python 3.11.12
Mon Sep  1 12:47:20 2025       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 580.65.06              Driver Version: 580.65.06      CUDA Version: 13.0     |
+-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA A100-SXM4-80GB          On  |   00000000:84:00.0 Off |                    0 |
| N/A   33C    P0             78W /  400W |       0MiB /  81920MiB |      0%      Default |
|                                         |                        |             Disabled |
+-----------------------------------------+------------------------+----------------------+

+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
cuda
raw_inputs shape: (150000, 8)
outputs shape: (150000,)
inputs shape: (150000, 7)
Namespace(data_dir='/gpfs/bwfor/work/ws/hd_gy283-my_data/sm_batches_1e6_mixed_eps=0.6', num_batches=150, batch_size=128, normalize=1, hd=90, num_layers=10, num_epochs=1000, lr=0.001, save_name='sm_mixed_eps=0.6')
Epoch  1/1000 Train Loss: 0.0631178293Val Loss: 0.0181311531   LR: 1.00e-03
Epoch  2/1000 Train Loss: 0.0376947542Val Loss: 0.0150467566   LR: 1.00e-03
Epoch  3/1000 Train Loss: 0.0356205863Val Loss: 0.0160275664   LR: 1.00e-03
Epoch  4/1000 Train Loss: 0.0339876982Val Loss: 0.0126341222   LR: 1.00e-03
Epoch  5/1000 Train Loss: 0.0326071133Val Loss: 0.0133212957   LR: 1.00e-03
Epoch  6/1000 Train Loss: 0.0299786440Val Loss: 0.0104302445   LR: 1.00e-03
Epoch  7/1000 Train Loss: 0.0291147271Val Loss: 0.0124843181   LR: 1.00e-03
Epoch  8/1000 Train Loss: 0.0289807061Val Loss: 0.0105982374   LR: 1.00e-03
Epoch  9/1000 Train Loss: 0.0282494107Val Loss: 0.0094328222   LR: 1.00e-03
Epoch 10/1000 Train Loss: 0.0269524121Val Loss: 0.0103285276   LR: 1.00e-03
Epoch 11/1000 Train Loss: 0.0267328009Val Loss: 0.0195687023   LR: 1.00e-03
Epoch 12/1000 Train Loss: 0.0238417784Val Loss: 0.0105105955   LR: 1.00e-03
Epoch 13/1000 Train Loss: 0.0241540615Val Loss: 0.0110113110   LR: 1.00e-03
Epoch 14/1000 Train Loss: 0.0242399320Val Loss: 0.0078743757   LR: 1.00e-03
Epoch 15/1000 Train Loss: 0.0215397664Val Loss: 0.0087766657   LR: 1.00e-03
Epoch 16/1000 Train Loss: 0.0216841723Val Loss: 0.0084914165   LR: 1.00e-03
Epoch 17/1000 Train Loss: 0.0204392127Val Loss: 0.0108527018   LR: 1.00e-03
Epoch 18/1000 Train Loss: 0.0209082730Val Loss: 0.0103260398   LR: 1.00e-03
Epoch 19/1000 Train Loss: 0.0193336348Val Loss: 0.0066476740   LR: 1.00e-03
Epoch 20/1000 Train Loss: 0.0196033364Val Loss: 0.0106663352   LR: 1.00e-03
Epoch 21/1000 Train Loss: 0.0184583294Val Loss: 0.0064099794   LR: 1.00e-03
Epoch 22/1000 Train Loss: 0.0183630232Val Loss: 0.0103010989   LR: 1.00e-03
Epoch 23/1000 Train Loss: 0.0178715162Val Loss: 0.0060994866   LR: 1.00e-03
Epoch 24/1000 Train Loss: 0.0182269701Val Loss: 0.0076871285   LR: 1.00e-03
Epoch 25/1000 Train Loss: 0.0176258902Val Loss: 0.0068884858   LR: 1.00e-03
Epoch 26/1000 Train Loss: 0.0176530058Val Loss: 0.0075636240   LR: 1.00e-03
Epoch 27/1000 Train Loss: 0.0170135576Val Loss: 0.0056819572   LR: 1.00e-03
Epoch 28/1000 Train Loss: 0.0162335956Val Loss: 0.0060980147   LR: 1.00e-03
Epoch 29/1000 Train Loss: 0.0168162255Val Loss: 0.0073925136   LR: 1.00e-03
Epoch 30/1000 Train Loss: 0.0154608648Val Loss: 0.0053634249   LR: 1.00e-03
Epoch 31/1000 Train Loss: 0.0153259381Val Loss: 0.0063639615   LR: 1.00e-03
Epoch 32/1000 Train Loss: 0.0162872057Val Loss: 0.0082786473   LR: 1.00e-03
Epoch 33/1000 Train Loss: 0.0151993732Val Loss: 0.0054607412   LR: 1.00e-03
Epoch 34/1000 Train Loss: 0.0147950878Val Loss: 0.0063944325   LR: 1.00e-03
Epoch 35/1000 Train Loss: 0.0149967647Val Loss: 0.0056819620   LR: 1.00e-03
Epoch 36/1000 Train Loss: 0.0158108434Val Loss: 0.0067664020   LR: 1.00e-03
Epoch 37/1000 Train Loss: 0.0143167486Val Loss: 0.0074273398   LR: 1.00e-03
Epoch 38/1000 Train Loss: 0.0139848538Val Loss: 0.0078030287   LR: 1.00e-03
Epoch 39/1000 Train Loss: 0.0146465929Val Loss: 0.0061208017   LR: 1.00e-03
Epoch 40/1000 Train Loss: 0.0143275109Val Loss: 0.0052719071   LR: 1.00e-03
Epoch 41/1000 Train Loss: 0.0138485993Val Loss: 0.0065798856   LR: 1.00e-03
Epoch 42/1000 Train Loss: 0.0139646536Val Loss: 0.0044754950   LR: 1.00e-03
Epoch 43/1000 Train Loss: 0.0141945021Val Loss: 0.0056165539   LR: 1.00e-03
Epoch 44/1000 Train Loss: 0.0134800910Val Loss: 0.0044067256   LR: 1.00e-03
Epoch 45/1000 Train Loss: 0.0135219775Val Loss: 0.0054646328   LR: 1.00e-03
Epoch 46/1000 Train Loss: 0.0134121413Val Loss: 0.0061702564   LR: 1.00e-03
Epoch 47/1000 Train Loss: 0.0137471583Val Loss: 0.0050667299   LR: 1.00e-03
Epoch 48/1000 Train Loss: 0.0132207729Val Loss: 0.0063097731   LR: 1.00e-03
Epoch 49/1000 Train Loss: 0.0130921933Val Loss: 0.0054133771   LR: 1.00e-03
Epoch 50/1000 Train Loss: 0.0130735275Val Loss: 0.0058825845   LR: 1.00e-03
Epoch 51/1000 Train Loss: 0.0128846235Val Loss: 0.0077047368   LR: 1.00e-03
Epoch 52/1000 Train Loss: 0.0132753741Val Loss: 0.0086839582   LR: 1.00e-03
Epoch 53/1000 Train Loss: 0.0128561393Val Loss: 0.0053263812   LR: 1.00e-03
Epoch 54/1000 Train Loss: 0.0124042536Val Loss: 0.0051712285   LR: 1.00e-03
Epoch 55/1000 Train Loss: 0.0120415518Val Loss: 0.0051708235   LR: 1.00e-03
Epoch 56/1000 Train Loss: 0.0133162717Val Loss: 0.0052993690   LR: 1.00e-03
Epoch 57/1000 Train Loss: 0.0119699139Val Loss: 0.0055763379   LR: 1.00e-03
Epoch 58/1000 Train Loss: 0.0117080306Val Loss: 0.0052698468   LR: 1.00e-03
Epoch 59/1000 Train Loss: 0.0121712331Val Loss: 0.0052018816   LR: 1.00e-03
Epoch 60/1000 Train Loss: 0.0119184676Val Loss: 0.0047827434   LR: 1.00e-03
Epoch 61/1000 Train Loss: 0.0118377359Val Loss: 0.0047822912   LR: 1.00e-03
Epoch 62/1000 Train Loss: 0.0121606957Val Loss: 0.0054289114   LR: 1.00e-03
Epoch 63/1000 Train Loss: 0.0119120912Val Loss: 0.0040082253   LR: 1.00e-03
Epoch 64/1000 Train Loss: 0.0120919474Val Loss: 0.0044950722   LR: 1.00e-03
Epoch 65/1000 Train Loss: 0.0116049038Val Loss: 0.0051761595   LR: 1.00e-03
Epoch 66/1000 Train Loss: 0.0122321125Val Loss: 0.0050651975   LR: 1.00e-03
Epoch 67/1000 Train Loss: 0.0111693002Val Loss: 0.0061005538   LR: 1.00e-03
Epoch 68/1000 Train Loss: 0.0119569292Val Loss: 0.0052904661   LR: 1.00e-03
Epoch 69/1000 Train Loss: 0.0112784884Val Loss: 0.0047519745   LR: 1.00e-03
Epoch 70/1000 Train Loss: 0.0111011626Val Loss: 0.0051513210   LR: 1.00e-03
Epoch 71/1000 Train Loss: 0.0110689306Val Loss: 0.0047684681   LR: 1.00e-03
Epoch 72/1000 Train Loss: 0.0106364036Val Loss: 0.0060545823   LR: 1.00e-03
Epoch 73/1000 Train Loss: 0.0111937752Val Loss: 0.0043499892   LR: 1.00e-03
Epoch 74/1000 Train Loss: 0.0109755647Val Loss: 0.0042722080   LR: 1.00e-03
Epoch 75/1000 Train Loss: 0.0110752487Val Loss: 0.0045116556   LR: 1.00e-03
Epoch 76/1000 Train Loss: 0.0108000554Val Loss: 0.0044903668   LR: 1.00e-03
Epoch 77/1000 Train Loss: 0.0105187382Val Loss: 0.0051643088   LR: 1.00e-03
Epoch 78/1000 Train Loss: 0.0102816344Val Loss: 0.0045117457   LR: 1.00e-03
Epoch 79/1000 Train Loss: 0.0107266136Val Loss: 0.0055637239   LR: 1.00e-03
Epoch 80/1000 Train Loss: 0.0112584326Val Loss: 0.0046931537   LR: 1.00e-03
Epoch 81/1000 Train Loss: 0.0105322975Val Loss: 0.0042220601   LR: 1.00e-03
Epoch 82/1000 Train Loss: 0.0105479111Val Loss: 0.0045835201   LR: 1.00e-03
Epoch 83/1000 Train Loss: 0.0108610418Val Loss: 0.0046324690   LR: 1.00e-03
Epoch 84/1000 Train Loss: 0.0110146672Val Loss: 0.0056456054   LR: 1.00e-03
Epoch 85/1000 Train Loss: 0.0101832542Val Loss: 0.0042336907   LR: 1.00e-03
Epoch 86/1000 Train Loss: 0.0110385967Val Loss: 0.0039912476   LR: 1.00e-03
Epoch 87/1000 Train Loss: 0.0104098741Val Loss: 0.0053138892   LR: 1.00e-03
Epoch 88/1000 Train Loss: 0.0103778466Val Loss: 0.0044583206   LR: 1.00e-03
Epoch 89/1000 Train Loss: 0.0101271317Val Loss: 0.0040535474   LR: 1.00e-03
Epoch 90/1000 Train Loss: 0.0105607599Val Loss: 0.0050014356   LR: 1.00e-03
Epoch 91/1000 Train Loss: 0.0101563011Val Loss: 0.0043857050   LR: 1.00e-03
Epoch 92/1000 Train Loss: 0.0105116367Val Loss: 0.0054991174   LR: 1.00e-03
Epoch 93/1000 Train Loss: 0.0098092811Val Loss: 0.0036026450   LR: 1.00e-03
Epoch 94/1000 Train Loss: 0.0102082850Val Loss: 0.0040239907   LR: 1.00e-03
Epoch 95/1000 Train Loss: 0.0099330427Val Loss: 0.0046407738   LR: 1.00e-03
Epoch 96/1000 Train Loss: 0.0101530377Val Loss: 0.0043814411   LR: 1.00e-03
Epoch 97/1000 Train Loss: 0.0102951216Val Loss: 0.0045728219   LR: 1.00e-03
Epoch 98/1000 Train Loss: 0.0101758890Val Loss: 0.0038640872   LR: 1.00e-03
Epoch 99/1000 Train Loss: 0.0097223342Val Loss: 0.0042559809   LR: 1.00e-03
Epoch 100/1000 Train Loss: 0.0101103636Val Loss: 0.0056510409   LR: 1.00e-03
Epoch 101/1000 Train Loss: 0.0100180075Val Loss: 0.0039620776   LR: 1.00e-03
Epoch 102/1000 Train Loss: 0.0095950617Val Loss: 0.0043465878   LR: 1.00e-03
Epoch 103/1000 Train Loss: 0.0099575042Val Loss: 0.0048110968   LR: 1.00e-03
Epoch 104/1000 Train Loss: 0.0097141930Val Loss: 0.0055905398   LR: 1.00e-03
Epoch 105/1000 Train Loss: 0.0097629546Val Loss: 0.0040196499   LR: 1.00e-03
Epoch 106/1000 Train Loss: 0.0102832055Val Loss: 0.0044677365   LR: 1.00e-03
Epoch 107/1000 Train Loss: 0.0094874437Val Loss: 0.0041213475   LR: 1.00e-03
Epoch 108/1000 Train Loss: 0.0097522571Val Loss: 0.0042284417   LR: 1.00e-03
Epoch 109/1000 Train Loss: 0.0096674460Val Loss: 0.0043850776   LR: 1.00e-03
Epoch 110/1000 Train Loss: 0.0096816124Val Loss: 0.0037907312   LR: 1.00e-03
Epoch 111/1000 Train Loss: 0.0095942876Val Loss: 0.0046907242   LR: 1.00e-03
Epoch 112/1000 Train Loss: 0.0095120020Val Loss: 0.0050891608   LR: 1.00e-03
Epoch 113/1000 Train Loss: 0.0095269764Val Loss: 0.0039434872   LR: 1.00e-03
Epoch 114/1000 Train Loss: 0.0090630999Val Loss: 0.0040412636   LR: 1.00e-03
Epoch 115/1000 Train Loss: 0.0096127458Val Loss: 0.0044797451   LR: 1.00e-03
Epoch 116/1000 Train Loss: 0.0098699514Val Loss: 0.0041235852   LR: 1.00e-03
Epoch 117/1000 Train Loss: 0.0094638226Val Loss: 0.0037490317   LR: 1.00e-03
Epoch 118/1000 Train Loss: 0.0095752156Val Loss: 0.0045779561   LR: 1.00e-03
Epoch 119/1000 Train Loss: 0.0091886146Val Loss: 0.0046649774   LR: 1.00e-03
Epoch 120/1000 Train Loss: 0.0092003255Val Loss: 0.0034895020   LR: 1.00e-03
Epoch 121/1000 Train Loss: 0.0094053655Val Loss: 0.0034271670   LR: 1.00e-03
Epoch 122/1000 Train Loss: 0.0091620330Val Loss: 0.0045549635   LR: 1.00e-03
Epoch 123/1000 Train Loss: 0.0091424328Val Loss: 0.0044225824   LR: 1.00e-03
Epoch 124/1000 Train Loss: 0.0094600291Val Loss: 0.0040219959   LR: 1.00e-03
Epoch 125/1000 Train Loss: 0.0092279943Val Loss: 0.0041564984   LR: 1.00e-03
Epoch 126/1000 Train Loss: 0.0090286341Val Loss: 0.0039645632   LR: 1.00e-03
Epoch 127/1000 Train Loss: 0.0092109836Val Loss: 0.0048889052   LR: 1.00e-03
Epoch 128/1000 Train Loss: 0.0088328495Val Loss: 0.0041789691   LR: 1.00e-03
Epoch 129/1000 Train Loss: 0.0095717698Val Loss: 0.0040559695   LR: 1.00e-03
Epoch 130/1000 Train Loss: 0.0091879713Val Loss: 0.0041601929   LR: 1.00e-03
Epoch 131/1000 Train Loss: 0.0085750863Val Loss: 0.0045435394   LR: 1.00e-03
Epoch 132/1000 Train Loss: 0.0093234912Val Loss: 0.0051103032   LR: 1.00e-03
Epoch 133/1000 Train Loss: 0.0091189199Val Loss: 0.0041893314   LR: 1.00e-03
Epoch 134/1000 Train Loss: 0.0091296531Val Loss: 0.0036147581   LR: 1.00e-03
Epoch 135/1000 Train Loss: 0.0091221301Val Loss: 0.0048338788   LR: 1.00e-03
Epoch 136/1000 Train Loss: 0.0091620471Val Loss: 0.0066462075   LR: 1.00e-03
Epoch 137/1000 Train Loss: 0.0088739779Val Loss: 0.0038493592   LR: 1.00e-03
Epoch 138/1000 Train Loss: 0.0086149084Val Loss: 0.0039707986   LR: 1.00e-03
Epoch 139/1000 Train Loss: 0.0090892042Val Loss: 0.0033929288   LR: 1.00e-03
Epoch 140/1000 Train Loss: 0.0091357591Val Loss: 0.0038486018   LR: 1.00e-03
Epoch 141/1000 Train Loss: 0.0089974991Val Loss: 0.0043276483   LR: 1.00e-03
Epoch 142/1000 Train Loss: 0.0091687176Val Loss: 0.0042337043   LR: 1.00e-03
Epoch 143/1000 Train Loss: 0.0089085335Val Loss: 0.0037711264   LR: 1.00e-03
Epoch 144/1000 Train Loss: 0.0089335334Val Loss: 0.0037564821   LR: 1.00e-03
Epoch 145/1000 Train Loss: 0.0086833945Val Loss: 0.0039270312   LR: 1.00e-03
Epoch 146/1000 Train Loss: 0.0089662670Val Loss: 0.0044442496   LR: 1.00e-03
Epoch 147/1000 Train Loss: 0.0088328620Val Loss: 0.0047730525   LR: 1.00e-03
Epoch 148/1000 Train Loss: 0.0084582549Val Loss: 0.0040423333   LR: 1.00e-03
Epoch 149/1000 Train Loss: 0.0085370776Val Loss: 0.0060092189   LR: 1.00e-03
Epoch 150/1000 Train Loss: 0.0088053933Val Loss: 0.0040024799   LR: 1.00e-03
Epoch 151/1000 Train Loss: 0.0082863975Val Loss: 0.0038736165   LR: 1.00e-03
Epoch 152/1000 Train Loss: 0.0086255326Val Loss: 0.0047202480   LR: 1.00e-03
Epoch 153/1000 Train Loss: 0.0082108358Val Loss: 0.0039106704   LR: 1.00e-03
Epoch 154/1000 Train Loss: 0.0083878585Val Loss: 0.0037721983   LR: 1.00e-03
