[MESH] Max bdr attr: 1
  attr 1 : 380 bdr elements
[BC] ess_tdof_list size = 402
LAYER=16 / layers=129  idx=49561 / solSize=50311
LAYER=107 / layers=129  idx=16079 / solSize=50311
LAYER=108 / layers=129  idx=15062 / solSize=50311
LAYER=49 / layers=129  idx=43243 / solSize=50311
LAYER=119 / layers=129  idx=7984 / solSize=50311
LAYER=98 / layers=129  idx=21764 / solSize=50311
LAYER=73 / layers=129  idx=34420 / solSize=50311
LAYER=113 / layers=129  idx=11673 / solSize=50311
LAYER=47 / layers=129  idx=43767 / solSize=50311
LAYER=81 / layers=129  idx=30390 / solSize=50311
LAYER=128 / layers=129  idx=1080 / solSize=50311
LAYER=62 / layers=129  idx=38899 / solSize=50311
LAYER=117 / layers=129  idx=9100 / solSize=50311
LAYER=100 / layers=129  idx=20390 / solSize=50311
LAYER=55 / layers=129  idx=41347 / solSize=50311
LAYER=125 / layers=129  idx=3356 / solSize=50311
LAYER=111 / layers=129  idx=13277 / solSize=50311
LAYER=81 / layers=129  idx=30570 / solSize=50311
LAYER=120 / layers=129  idx=6895 / solSize=50311
LAYER=123 / layers=129  idx=5060 / solSize=50311
LAYER=103 / layers=129  idx=18453 / solSize=50311
LAYER=128 / layers=129  idx=1034 / solSize=50311
LAYER=66 / layers=129  idx=37320 / solSize=50311
LAYER=52 / layers=129  idx=42297 / solSize=50311
LAYER=67 / layers=129  idx=36894 / solSize=50311
LAYER=109 / layers=129  idx=14530 / solSize=50311
LAYER=106 / layers=129  idx=16573 / solSize=50311
LAYER=126 / layers=129  idx=2962 / solSize=50311
LAYER=105 / layers=129  idx=16956 / solSize=50311
LAYER=99 / layers=129  idx=20655 / solSize=50311
LAYER=37 / layers=129  idx=46230 / solSize=50311
LAYER=107 / layers=129  idx=16221 / solSize=50311
LAYER=49 / layers=129  idx=43001 / solSize=50311
LAYER=102 / layers=129  idx=19306 / solSize=50311
LAYER=85 / layers=129  idx=28556 / solSize=50311
LAYER=46 / layers=129  idx=43850 / solSize=50311
LAYER=87 / layers=129  idx=27666 / solSize=50311
LAYER=44 / layers=129  idx=44497 / solSize=50311
LAYER=124 / layers=129  idx=3846 / solSize=50311
LAYER=103 / layers=129  idx=18309 / solSize=50311
LAYER=50 / layers=129  idx=42904 / solSize=50311
LAYER=95 / layers=129  idx=23136 / solSize=50311
LAYER=52 / layers=129  idx=42213 / solSize=50311
LAYER=128 / layers=129  idx=1392 / solSize=50311
LAYER=13 / layers=129  idx=49776 / solSize=50311
LAYER=116 / layers=129  idx=9649 / solSize=50311
LAYER=125 / layers=129  idx=3411 / solSize=50311
LAYER=110 / layers=129  idx=14142 / solSize=50311
LAYER=72 / layers=129  idx=34662 / solSize=50311
LAYER=127 / layers=129  idx=1644 / solSize=50311
LAYER=110 / layers=129  idx=14097 / solSize=50311
LAYER=68 / layers=129  idx=36562 / solSize=50311
LAYER=106 / layers=129  idx=16908 / solSize=50311
LAYER=126 / layers=129  idx=2539 / solSize=50311
LAYER=104 / layers=129  idx=17878 / solSize=50311
LAYER=107 / layers=129  idx=16182 / solSize=50311
LAYER=128 / layers=129  idx=860 / solSize=50311
LAYER=110 / layers=129  idx=14308 / solSize=50311
LAYER=25 / layers=129  idx=48391 / solSize=50311
LAYER=128 / layers=129  idx=955 / solSize=50311
LAYER=28 / layers=129  idx=47915 / solSize=50311
LAYER=120 / layers=129  idx=7470 / solSize=50311
LAYER=107 / layers=129  idx=16187 / solSize=50311
LAYER=75 / layers=129  idx=33371 / solSize=50311
LAYER=94 / layers=129  idx=23990 / solSize=50311
LAYER=48 / layers=129  idx=43501 / solSize=50311
LAYER=29 / layers=129  idx=47724 / solSize=50311
LAYER=58 / layers=129  idx=40118 / solSize=50311
LAYER=65 / layers=129  idx=37604 / solSize=50311
LAYER=97 / layers=129  idx=21995 / solSize=50311
LAYER=103 / layers=129  idx=18676 / solSize=50311
LAYER=96 / layers=129  idx=22898 / solSize=50311
LAYER=119 / layers=129  idx=7507 / solSize=50311
LAYER=103 / layers=129  idx=18292 / solSize=50311
LAYER=119 / layers=129  idx=8172 / solSize=50311
LAYER=85 / layers=129  idx=28772 / solSize=50311
LAYER=58 / layers=129  idx=40070 / solSize=50311
LAYER=87 / layers=129  idx=27782 / solSize=50311
LAYER=30 / layers=129  idx=47645 / solSize=50311
LAYER=99 / layers=129  idx=20922 / solSize=50311
LAYER=90 / layers=129  idx=25797 / solSize=50311
LAYER=92 / layers=129  idx=25052 / solSize=50311
LAYER=60 / layers=129  idx=39623 / solSize=50311
